date,temp_mean,rain_mm
2025-01-11,1.4,0.0
2025-01-12,2.2,0.0
2025-01-13,0.7,0.0
2025-01-14,3.6,0.2
2025-01-15,6.8,0.0
2025-01-16,4.9,0.0
2025-01-17,2.3,0.0
2025-01-18,-0.7,0.0
2025-01-19,-1.0,0.0
2025-01-20,0.0,0.0
2025-01-21,0.8,0.0
2025-01-22,0.8,5.0
2025-01-23,4.7,4.7
2025-01-24,7.5,3.5
2025-01-25,5.5,2.1
2025-01-26,3.2,2.4
2025-01-27,8.4,5.9
2025-01-28,7.5,2.3
2025-01-29,6.9,2.8
2025-01-30,5.3,0.8
2025-01-31,3.4,0.1
2025-02-01,1.1,0.0
2025-02-02,-0.4,0.0
2025-02-03,0.5,0.0
2025-02-04,2.7,0.0
2025-02-05,5.5,0.0
2025-02-06,3.5,0.0
2025-02-07,2.6,0.0
2025-02-08,3.7,0.0
2025-02-09,3.4,0.0
2025-02-10,2.1,2.3
2025-02-11,2.2,14.6
2025-02-12,3.4,5.1
2025-02-13,1.1,0.8
2025-02-14,0.6,0.1
2025-02-15,1.1,0.4
2025-02-16,0.5,0.0
2025-02-17,-1.1,0.0
2025-02-18,-1.2,0.0
2025-02-19,0.6,0.0
2025-02-20,5.6,0.8
2025-02-21,12.9,0.3
2025-02-22,10.3,5.4
2025-02-23,9.3,0.0
2025-02-24,10.3,4.4
2025-02-25,7.8,0.0
2025-02-26,7.0,3.4
2025-02-27,5.6,5.0
2025-02-28,5.2,0.5
2025-03-01,3.5,0.0
2025-03-02,2.3,0.0
2025-03-03,1.6,0.0
2025-03-04,2.8,0.0
2025-03-05,6.1,0.0
2025-03-06,7.8,0.0
2025-03-07,10.2,0.0
2025-03-08,10.6,0.0
2025-03-09,9.7,0.0
2025-03-10,8.1,0.0
2025-03-11,5.8,0.0
2025-03-12,4.6,1.6
2025-03-13,3.2,1.6
2025-03-14,2.6,0.5
2025-03-15,3.0,0.0
2025-03-16,3.0,0.0
2025-03-17,4.6,0.0
2025-03-18,3.9,0.0
2025-03-19,6.7,0.0
2025-03-20,10.1,0.0
2025-03-21,12.6,0.0
2025-03-22,14.1,0.3
2025-03-23,12.0,3.3
2025-03-24,9.3,0.0
2025-03-25,7.9,0.0
2025-03-26,8.2,0.2
2025-03-27,7.5,0.0
2025-03-28,7.9,0.4
2025-03-29,7.4,0.0
2025-03-30,9.5,0.8
2025-03-31,7.9,0.0
2025-04-01,7.9,0.0
2025-04-02,10.3,0.0
2025-04-03,13.2,0.0
2025-04-04,12.5,0.0
2025-04-05,9.1,0.0
2025-04-06,7.4,0.0
2025-04-07,7.2,0.0
2025-04-08,7.7,0.0
2025-04-09,7.1,0.0
2025-04-10,9.1,0.0
2025-04-11,9.7,0.0
2025-04-12,13.6,0.0
2025-04-13,13.4,3.6
2025-04-14,12.2,0.5
2025-04-15,13.8,5.1
2025-04-16,10.9,0.2
2025-04-17,9.9,0.4
2025-04-18,9.9,0.0
2025-04-19,9.0,0.0
2025-04-20,9.4,0.0
2025-04-21,10.4,9.9
2025-04-22,11.4,0.4
2025-04-23,11.4,1.9
2025-04-24,10.5,10.0
2025-04-25,10.3,0.0
2025-04-26,11.4,0.1
2025-04-27,13.6,0.0
2025-04-28,14.0,0.0
2025-04-29,14.1,0.0
2025-04-30,16.4,0.0
2025-05-01,18.4,0.0
2025-05-02,17.3,0.0
2025-05-03,12.1,0.0
2025-05-04,10.0,0.7
2025-05-05,8.9,0.1
2025-05-06,9.3,0.8
2025-05-07,10.5,0.0
2025-05-08,12.1,0.1
2025-05-09,13.1,0.0
2025-05-10,14.5,0.0
2025-05-11,17.6,0.0
2025-05-12,18.6,0.0
2025-05-13,16.6,0.0
2025-05-14,14.4,0.0
2025-05-15,13.4,0.0
2025-05-16,11.7,0.0
2025-05-17,12.8,0.0
2025-05-18,14.0,0.3
2025-05-19,14.2,0.0
2025-05-20,14.7,0.0
2025-05-21,12.8,0.0
2025-05-22,11.0,0.3
2025-05-23,10.2,1.5
2025-05-24,11.9,8.7
2025-05-25,15.1,6.2
2025-05-26,14.3,0.6
2025-05-27,14.1,20.6
2025-05-28,14.1,9.7
2025-05-29,13.8,1.2
2025-05-30,16.1,0.2
2025-05-31,18.1,0.2
2025-06-01,16.5,0.1
2025-06-02,14.4,0.3
2025-06-03,15.3,0.3
2025-06-04,15.5,5.3
2025-06-05,14.7,4.0
2025-06-06,15.0,8.8
2025-06-07,13.3,6.4
2025-06-08,12.6,21.4
2025-06-09,14.4,0.9
2025-06-10,14.3,5.5
2025-06-11,14.5,0.0
2025-06-12,18.5,0.0
2025-06-13,23.5,0.0
2025-06-14,22.1,2.5
2025-06-15,17.1,0.0
2025-06-16,17.1,0.0
2025-06-17,17.6,0.0
2025-06-18,18.5,0.0
2025-06-19,17.7,0.0
2025-06-20,18.6,0.0
2025-06-21,22.2,0.0
2025-06-22,21.4,0.6
2025-06-23,17.7,2.7
2025-06-24,17.5,0.5
2025-06-25,19.8,0.0
2025-06-26,19.4,4.6
2025-06-27,18.1,2.9
2025-06-28,20.6,0.1
2025-06-29,21.1,0.0
2025-06-30,21.5,0.0
2025-07-01,26.9,0.0
2025-07-02,22.4,1.6
2025-07-03,17.3,0.4
2025-07-04,18.3,0.0
2025-07-05,18.6,1.9
2025-07-06,17.8,12.4
2025-07-07,15.5,1.6
2025-07-08,14.8,8.8
2025-07-09,17.4,0.0
2025-07-10,18.6,0.0
2025-07-11,19.1,0.2
2025-07-12,19.3,0.0
2025-07-13,19.6,0.8
2025-07-14,19.3,0.9
2025-07-15,18.8,0.5
2025-07-16,16.9,8.8
2025-07-17,17.6,0.0
2025-07-18,19.5,0.4
2025-07-19,22.4,0.1
2025-07-20,20.0,17.8
2025-07-21,18.8,11.6
2025-07-22,18.0,12.1
2025-07-23,18.7,3.3
2025-07-24,18.8,0.0
2025-07-25,19.1,0.3
2025-07-26,18.7,0.4
2025-07-27,17.8,3.7
2025-07-28,17.0,2.9
2025-07-29,17.2,0.5
2025-07-30,16.9,0.4
2025-07-31,17.7,8.2
2025-08-01,16.3,7.4
2025-08-02,16.2,7.4
2025-08-03,17.9,1.2
2025-08-04,19.0,6.2
2025-08-05,17.0,2.9
2025-08-06,17.0,0.1
2025-08-07,17.9,0.1
2025-08-08,19.3,0.8
2025-08-09,17.2,0.0
2025-08-10,18.5,0.0
2025-08-11,19.5,0.0
2025-08-12,22.3,0.0
2025-08-13,23.3,0.0
2025-08-14,22.5,0.5
2025-08-15,20.8,0.0
2025-08-16,18.7,0.7
2025-08-17,16.5,0.7
2025-08-18,18.4,0.0
2025-08-19,18.8,0.0
2025-08-20,18.0,0.1
2025-08-21,16.3,0.2
2025-08-22,15.2,0.5
2025-08-23,15.1,1.2
2025-08-24,14.7,0.0
2025-08-25,16.5,0.0
2025-08-26,18.8,0.0
2025-08-27,19.3,0.7
2025-08-28,17.6,4.7
2025-08-29,16.7,0.4
2025-08-30,17.4,0.8
2025-08-31,19.0,4.1
2025-09-01,18.3,0.4
2025-09-02,17.2,0.7
2025-09-03,18.3,7.0
2025-09-04,17.8,0.3
2025-09-05,16.5,0.9
